source,repo,job_name,original_bytes,original_lines,original_tokens,compressed_bytes,compressed_lines,compressed_tokens,byte_reduction_pct,token_reduction_pct,has_failure,signals_total,signals_preserved,preservation_rate,elapsed_ms
facebook_react__24815889525__72630959074,facebook/react,facebook_react__24815889525__72630959074,28216,293,8061,3973,62,1119,85.9,86.1,True,2,2,100.0,3.3
facebook_react__24830751537__72678345029,facebook/react,facebook_react__24830751537__72678345029,17879,229,5107,3899,61,1099,78.2,78.5,True,2,2,100.0,2.2
hashicorp_terraform__24826728522__72664511408,hashicorp/terraform,hashicorp_terraform__24826728522__72664511408,21653,335,6186,3773,53,1063,82.6,82.8,True,1,1,100.0,2.7
hashicorp_terraform__24832930287__72685742988,hashicorp/terraform,hashicorp_terraform__24832930287__72685742988,21463,333,6131,3773,53,1063,82.4,82.7,True,1,1,100.0,2.7
huggingface_transformers__24833065950__72686206358,huggingface/transformers,huggingface_transformers__24833065950__72686206358,57154,847,16304,8830,121,2496,84.6,84.7,True,2,2,100.0,5.8
kubernetes_kubernetes__23485708914__68341200102,kubernetes/kubernetes,kubernetes_kubernetes__23485708914__68341200102,5166,84,1475,1258,27,352,75.6,76.1,True,2,2,100.0,0.7
kubernetes_kubernetes__23556600061__68585719507,kubernetes/kubernetes,kubernetes_kubernetes__23556600061__68585719507,5166,84,1475,1258,27,352,75.6,76.1,True,2,2,100.0,0.8
microsoft_TypeScript__24634594175__72027680703,microsoft/TypeScript,microsoft_TypeScript__24634594175__72027680703,28957,359,8272,4663,76,1318,83.9,84.1,True,6,6,100.0,2.8
microsoft_TypeScript__24823635328__72654334183,microsoft/TypeScript,microsoft_TypeScript__24823635328__72654334183,5164,84,1474,1258,27,352,75.6,76.1,True,2,2,100.0,0.7
pandas-dev_pandas__24825140731__72659027581,pandas-dev/pandas,pandas-dev_pandas__24825140731__72659027581,540660,3789,154471,125188,2122,35744,76.8,76.9,True,35,34,97.1,33.3
pandas-dev_pandas__24825140756__72659027178,pandas-dev/pandas,pandas-dev_pandas__24825140756__72659027178,507974,4798,144853,63219,646,18028,87.6,87.6,True,138,137,99.3,39.5
rust-lang_cargo__24805905256__72599889520,rust-lang/cargo,rust-lang_cargo__24805905256__72599889520,37762,282,10786,2953,48,836,92.2,92.2,True,2,2,100.0,2.7
rust-lang_cargo__24806503787__72601802177,rust-lang/cargo,rust-lang_cargo__24806503787__72601802177,37760,282,10786,2963,48,839,92.2,92.2,True,2,2,100.0,2.6
scikit-learn_scikit-learn__24831583567__72681299397,scikit-learn/scikit-learn,scikit-learn_scikit-learn__24831583567__72681299397,1135902,5704,323388,4870,78,1354,99.6,99.6,True,2,2,100.0,52.9
scikit-learn_scikit-learn__24831583567__72681299420,scikit-learn/scikit-learn,scikit-learn_scikit-learn__24831583567__72681299420,1032531,5657,293300,5012,78,1391,99.5,99.5,True,2,2,100.0,53.0
tokio-rs_tokio__24787452190__72535636183,tokio-rs/tokio,tokio-rs_tokio__24787452190__72535636183,396924,3147,113238,21106,383,5862,94.7,94.8,True,20,20,100.0,23.5
tokio-rs_tokio__24789019196__72541393230,tokio-rs/tokio,tokio-rs_tokio__24789019196__72541393230,397626,3155,113438,21108,383,5863,94.7,94.8,True,20,20,100.0,22.6
vercel_next.js__24789847613__72544002443,vercel/next.js,vercel_next.js__24789847613__72544002443,1131870,10993,323218,34163,542,9722,97.0,97.0,True,4,4,100.0,67.0
vercel_next.js__24791569815__72550144511,vercel/next.js,vercel_next.js__24791569815__72550144511,76540,1032,21641,5350,88,1512,93.0,93.0,True,7,7,100.0,5.9
