source,repo,job_name,original_bytes,original_lines,original_tokens,compressed_bytes,compressed_lines,compressed_tokens,byte_reduction_pct,token_reduction_pct,has_failure,signals_total,signals_preserved,preservation_rate,elapsed_ms
pandas-dev/pandas:24825140756:72659027178,pandas-dev/pandas,"Docstring validation, typing, and other manual pre-commit hooks",507974,4798,144853,9031,114,2548,98.2,98.2,True,378,107,28.3,58.7
pandas-dev/pandas:24825140731:72659027581,pandas-dev/pandas,Numpy Nightly,540660,3789,154471,125021,2120,35697,76.9,76.9,True,56,54,96.4,25.5
scikit-learn/scikit-learn:24831583567:72681299397,scikit-learn/scikit-learn,Linux pylatest_pip_openblas_pandas,1135902,5704,323388,4870,78,1354,99.6,99.6,True,2,2,100.0,39.7
scikit-learn/scikit-learn:24831583567:72681299420,scikit-learn/scikit-learn,Linux x86-64 pylatest_conda_forge_mkl,1032531,5657,293300,5012,78,1391,99.5,99.5,True,2,2,100.0,46.3
huggingface/transformers:24833065950:72686206358,huggingface/transformers,build / build_pr_documentation,57154,847,16304,9694,149,2742,83.0,83.2,True,2,2,100.0,4.3
huggingface/transformers:24833065950:72686409514,huggingface/transformers,doc_build_status_check,2423,41,691,998,31,280,58.8,59.5,True,2,2,100.0,0.3
facebook/react:24830751537:72678345029,facebook/react,Run prettier,17879,229,5107,3899,61,1099,78.2,78.5,True,2,2,100.0,1.7
facebook/react:24815889525:72630959074,facebook/react,Run prettier,28216,293,8061,3973,62,1119,85.9,86.1,True,2,2,100.0,2.4
vercel/next.js:24791569815:72550144511,vercel/next.js,create-pull-request,76540,1032,21641,5350,88,1512,93.0,93.0,True,7,7,100.0,4.8
vercel/next.js:24789847613:72544002443,vercel/next.js,Test Examples (20),1131870,10993,323218,33303,514,9477,97.1,97.1,True,6,5,83.3,50.5
microsoft/TypeScript:24823635328:72654334183,microsoft/TypeScript,Cleanup artifacts,5164,84,1474,1258,27,352,75.6,76.1,True,2,2,100.0,0.6
microsoft/TypeScript:24634594175:72027680703,microsoft/TypeScript,coverage,28957,359,8272,4663,76,1318,83.9,84.1,True,9,9,100.0,2.5
rust-lang/cargo:24806503787:72601802177,rust-lang/cargo,Dependabot,37760,282,10786,2963,48,839,92.2,92.2,True,2,2,100.0,2.0
rust-lang/cargo:24805905256:72599889520,rust-lang/cargo,Dependabot,37762,282,10786,2953,48,836,92.2,92.2,True,2,2,100.0,1.9
tokio-rs/tokio:24789019196:72541393230,tokio-rs/tokio,test all crates in the workspace with all features (ubuntu-latest),397626,3155,113438,9584,170,2673,97.6,97.6,True,37,24,64.9,17.2
tokio-rs/tokio:24787452190:72535636183,tokio-rs/tokio,test all crates in the workspace with all features (ubuntu-latest),396924,3147,113238,9582,170,2672,97.6,97.6,True,37,24,64.9,17.6
kubernetes/kubernetes:23556600061:68585719507,kubernetes/kubernetes,Cleanup artifacts,5166,84,1475,1258,27,352,75.6,76.1,True,2,2,100.0,0.6
kubernetes/kubernetes:23485708914:68341200102,kubernetes/kubernetes,Cleanup artifacts,5166,84,1475,1258,27,352,75.6,76.1,True,2,2,100.0,0.6
hashicorp/terraform:24832930287:72685742988,hashicorp/terraform,Check Changelog Entry,21463,333,6131,3773,53,1063,82.4,82.7,True,1,1,100.0,2.3
hashicorp/terraform:24826728522:72664511408,hashicorp/terraform,Check Changelog Entry,21653,335,6186,3773,53,1063,82.6,82.8,True,1,1,100.0,2.3
